ACCESSION	UNIPROT_NAME	GID	GENE_NAME	SUBMITTED_PROTEIN_NAME	RECOMMENDED_PTN_NAME
Q88D30	PYRB_PSEPK	PP_4998	pyrB		Aspartate carbamoyltransferase
Q88D54	Q88D54_PSEPK	PP_4973			EamA domain-containing protein
Q88D70	Q88D70_PSEPK	PP_4957			Helix-turn-helix domain-containing protein
Q88DD2	MIAA_PSEPK	PP_4895	miaA		tRNA dimethylallyltransferase
Q88DV2	Q88DV2_PSEPK	PP_4717	folP		Dihydropteroate synthase
Q88DX1	Q88DX1_PSEPK	PP_4697	pcnB		Poly(A) polymerase I
Q88DX4	GLUQ_PSEPK	PP_4694	gluQ		Glutamyl-Q tRNA(Asp) synthetase
Q88E08	Q88E08_PSEPK	PP_4660		Transcriptional regulator, LysR family	
Q88E85	Q88E85_PSEPK	PP_4581	yafJ	Amidotransferase	
Q88EF2	Q88EF2_PSEPK	PP_4513			Selenoprotein
Q88EQ9	Q88EQ9_PSEPK	PP_4394	flgA		Flagella basal body P-ring formation protein FlgA
Q88EX9	CCME_PSEPK	PP_4323	ccmE		Cytochrome c-type biogenesis protein CcmE
Q88F70	Q88F70_PSEPK	PP_4228			Glutamyl-tRNA amidotransferase
Q88FA7	Q88FA7_PSEPK	PP_4191	sdhA		Succinate dehydrogenase flavoprotein subunit
Q88FR5	Q88FR5_PSEPK	PP_4018		Acetyltransferase, GNAT family	
Q88FZ5	Q88FZ5_PSEPK	PP_3931	yfbS	Transporter	
Q88G31	Q88G31_PSEPK	PP_3895		Regulatory protein Cro	
Q88G88	Q88G88_PSEPK	PP_3837	yphA		DoxX family protein
Q88GC4	Q88GC4_PSEPK	PP_3800			Periplasmic protein
Q88GF4	Q88GF4_PSEPK	PP_3770			Filamentous hemagglutinin
Q88GN6	Q88GN6_PSEPK	PP_3684		Uncharacterized protein	
Q88HE4	Q88HE4_PSEPK	PP_3416	gnuK		Gluconokinase
Q88HG0	Q88HG0_PSEPK	PP_3398		Curli fiber surface-exposed nucleator CsgB	
Q88HL6	Q88HL6_PSEPK	PP_3340		TonB-dependent receptor	
Q88HR1	Q88HR1_PSEPK	PP_3292		Uncharacterized protein	
Q88HW0	Q88HW0_PSEPK	PP_3243		Acetyltransferase, GNAT family	
Q88I39	Q88I39_PSEPK	PP_3162	benB	Benzoate 1,2-dioxygenase subunit beta	
Q88I60	Q88I60_PSEPK	PP_3141		Glycosyl transferase, WecB/TagA/CpsF family	
Q88I62	Q88I62_PSEPK	PP_3139		Glycosyl transferase, group 1 family protein	
Q88IE6	Q88IE6_PSEPK	PP_3053	gpW	Pyocin R2_PP, baseplate protein	
Q88IM2	Q88IM2_PSEPK	PP_2977	tnpB	Tn4652, transposase subunit B	
Q88IN0	Q88IN0_PSEPK	PP_2969	csoR	Repressor of copper utilisation proteins	
Q88IQ4	Q88IQ4_PSEPK	PP_2945			histidine kinase
Q88IU3	Q88IU3_PSEPK	PP_2906			histidine kinase
Q88IW8	Q88IW8_PSEPK	PP_2881		Oxidoreductase, short chain dehydrogenase/reductase family	
Q88IZ8	Q88IZ8_PSEPK	PP_2851			Thioredoxin
Q88JG4	Q88JG4_PSEPK	PP_2685			Peptidase
Q88JU4	Q88JU4_PSEPK	PP_2553		Major facilitator family transporter	
Q88JV1	Q88JV1_PSEPK	PP_2546			DUF2784 domain-containing protein
Q88JZ4	Q88JZ4_PSEPK	PP_2499			Ribbon-helix-helix protein CopG domain-containing protein
Q88K33	RBSD_PSEPK	PP_2459	rbsD		D-ribose pyranase
Q88KM2	Q88KM2_PSEPK	PP_2268		Phage endodeoxyribonuclease I	
Q88L13	Q88L13_PSEPK	PP_2124		Glycosyl transferase	
Q88L36	Q88L36_PSEPK	PP_2099			DUF469 domain-containing protein
Q88L41	Q88L41_PSEPK	PP_2094		Nitrate-binding protein NasS	
Q88L79	Q88L79_PSEPK	PP_2056	dctA-II	C4-dicarboxylate transport protein	
Q88L88	Q88L88_PSEPK	PP_2047		3-hydroxyacyl-CoA dehydrogenase family protein	
Q88LA0	Q88LA0_PSEPK	PP_2035	benE-I	Benzoate transport protein	
Q88LE2	Q88LE2_PSEPK	PP_1992	asd	Aspartate-semialdehyde dehydrogenase	
Q88LM9	LPXK_PSEPK	PP_1900	lpxK		Tetraacyldisaccharide 4'-kinase
Q88LQ4	Q88LQ4_PSEPK	PP_1875			histidine kinase
Q88LR5	Q88LR5_PSEPK	PP_1863		Transcriptional regulator, LysR family	
Q88LU5	Q88LU5_PSEPK	PP_1832		Oxidase	
Q88LW5	Q88LW5_PSEPK	PP_1812		Uncharacterized protein	
Q88M80	Q88M80_PSEPK	PP_1694	rmuC	DNA recombination limiting inversions protein	
Q88M87	Q88M87_PSEPK	PP_1687			DUF2798 domain-containing protein
Q88ME6	Q88ME6_PSEPK	PP_1627		Uncharacterized protein	
Q88MI5	Q88MI5_PSEPK	PP_1586		Killer protein	
Q88MR3	Q88MR3_PSEPK	PP_1507	tsaB		tRNA threonylcarbamoyladenosine biosynthesis protein TsaB
Q88MR5	Q88MR5_PSEPK	PP_1504			Pilin assembly protein
Q88NC1	Q88NC1_PSEPK	PP_1291		PhoH family protein	
Q88NR1	Q88NR1_PSEPK	PP_1144			Diguanylate phosphodiesterase
Q88NV7	SYM_PSEPK	PP_1097	metG		Methionine--tRNA ligase
Q88NW1	Q88NW1_PSEPK	PP_1093		Electron transport complex protein	
Q88P55	Q88P55_PSEPK	PP_0998			DUF5064 domain-containing protein
Q88PA7	Q88PA7_PSEPK	PP_0943			FagA protein
Q88PD4	Q88PD4_PSEPK	PP_0916		Amino acid transporter LysE	
Q88PG8	Q88PG8_PSEPK	PP_0882	dppA-I	Dipeptide ABC transporter-periplasmic binding protein	
Q88PK5	HSCB_PSEPK	PP_0845	hscB		Co-chaperone protein HscB homolog
Q88PQ7	Q88PQ7_PSEPK	PP_0791	yjjV	Hydrolase	
Q88QG1	Q88QG1_PSEPK	PP_0533	pfeS-I		histidine kinase
Q88QP8	EFTU1_PSEPK	PP_0440	tufA		Elongation factor Tu-A
Q88QS1	Q88QS1_PSEPK	PP_0417	trpE		Anthranilate synthase component 1
Q88R92	Q88R92_PSEPK	PP_0241		Transporter	
Q88RC3	Q88RC3_PSEPK	PP_0209	tauB-I	ATP-binding taurine transporter subunit	
Q88RM8	Q88RM8_PSEPK	PP_0101		Sulfate transporter	
Q88RN9	Q88RN9_PSEPK	PP_0090			DUF1161 domain-containing protein
Q88RS3	Q88RS3_PSEPK	PP_0056	betA-I	Choline dehydrogenase	
A0A140FW41	A0A140FW41_PSEPK	PP_5487		Uncharacterized protein	
A0A140FW71	A0A140FW71_PSEPK	PP_5516		Uncharacterized protein	
A0A140FW88	A0A140FW88_PSEPK	PP_5534		Uncharacterized protein	
A0A140FW90	A0A140FW90_PSEPK	PP_5536			RHS repeat-associated core domain-containing protein
A0A140FWM2	A0A140FWM2_PSEPK	PP_5671			DUF883 domain-containing protein
A0A140FWR0	A0A140FWR0_PSEPK	PP_5707			DUF3077 domain-containing protein
Q88CC2	Q88CC2_PSEPK	PP_5259		Transcriptional regulator, LysR family	
Q88CC4	Q88CC4_PSEPK	PP_5257	amaA	L-pipecolate oxidase	
Q88CI2	Q88CI2_PSEPK	PP_5199	ubiH	2-octaprenyl-6-methoxyphenyl hydroxylase	
Q88CK2	Q88CK2_PSEPK	PP_5178	spuG	Spermidine/putrescine ABC transporter-inner membrane subunit	
Q88CN8	LGT_PSEPK	PP_5142	lgt		Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase
Q88CY1	Q88CY1_PSEPK	PP_5048	glnG		DNA-binding transcriptional regulator NtrC
Q88D14	HIS2_PSEPK	PP_5015	hisE		Phosphoribosyl-ATP pyrophosphatase
Q88D99	Q88D99_PSEPK	PP_4928	waaA		3-deoxy-D-manno-octulosonic acid transferase
Q88DD0	Q88DD0_PSEPK	PP_4897	amiC		N-acetylmuramoyl-L-alanine amidase
Q88DE7	RLMB_PSEPK	PP_4879	rlmB		23S rRNA (guanosine-2'-O-)-methyltransferase RlmB
Q88DM3	Y4802_PSEPK	PP_4802			UPF0250 protein PP_4802
Q88DT4	Q88DT4_PSEPK	PP_4735	lldP		L-lactate permease
Q88DV9	RS15_PSEPK	PP_4709	rpsO		Small ribosomal subunit protein uS15
Q88E61	Q88E61_PSEPK	PP_4607		Transmembrane sensor	
Q88EE2	Q88EE2_PSEPK	PP_4523		Agmatinase	
Q88EF6	Q88EF6_PSEPK	PP_4509			DUF962 domain-containing protein
Q88EG8	Q88EG8_PSEPK	PP_4495	aroP-II	Aromatic amino acid transport protein	
Q88EJ0	Q88EJ0_PSEPK	PP_4472	csrA		Translational regulator CsrA
Q88EX8	Q88EX8_PSEPK	PP_4324	ccmD		Heme exporter protein D
Q88F87	Q88F87_PSEPK	PP_4211	ompQ	Outer membrane pyoverdine efflux protein	
Q88FF9	Q88FF9_PSEPK	PP_4137		Outer membrane siderophore receptor	
Q88FK8	Q88FK8_PSEPK	PP_4082	hcpC-II	Hemolysin-coregulated protein	
Q88FK9	Q88FK9_PSEPK	PP_4081		Type 4/6 secretion system	
Q88FT7	Q88FT7_PSEPK	PP_3995			Sulfurtransferase complex subunit TusB
Q88FT9	Q88FT9_PSEPK	PP_3993	tusD	Sulfur transfer protein complex, TusD subunit	
Q88FW0	Q88FW0_PSEPK	PP_3968			histidine kinase
Q88G37	Q88G37_PSEPK	PP_3889		Phage integrase	
Q88G78	Q88G78_PSEPK	PP_3847		Transcriptional regulator, LuxR family	
Q88GI8	Q88GI8_PSEPK	PP_3734		ABC transporter, permease protein	
Q88GL2	Q88GL2_PSEPK	PP_3709		Uncharacterized protein	
Q88GP1	Q88GP1_PSEPK	PP_3679			Exonuclease domain-containing protein
Q88GQ0	KATG_PSEPK	PP_3668	katG		Catalase-peroxidase
Q88GV5	Q88GV5_PSEPK	PP_3612		TonB-dependent receptor	
Q88H19	Q88H19_PSEPK	PP_3546			histidine kinase
Q88H28	Q88H28_PSEPK	PP_3537	pobA	p-hydroxybenzoate hydroxylase	
Q88H32	OCD_PSEPK	PP_3533	ocd		Ornithine cyclodeaminase
Q88HC0	Q88HC0_PSEPK	PP_3440			Glycosyltransferase family 61 protein
Q88HF6	Q88HF6_PSEPK	PP_3403		Quercetin 2,3-dioxygenase	
Q88HI8	Q88HI8_PSEPK	PP_3369		Transcriptional regulator, LysR family	
Q88HI9	Q88HI9_PSEPK	PP_3368		Major facilitator family transporter	
Q88HN2	Q88HN2_PSEPK	PP_3321			DUF4440 domain-containing protein
Q88HQ2	Q88HQ2_PSEPK	PP_3301		RND efflux membrane fusion protein	
Q88HS5	Q88HS5_PSEPK	PP_3278	paaA	Ring 1,2-phenylacetyl-CoA epoxidase alpha subunit	
Q88I07	Q88I07_PSEPK	PP_3195			Peptidase S9 prolyl oligopeptidase catalytic domain-containing protein
Q88IV9	Q88IV9_PSEPK	PP_2890	xthA	Exodeoxyribonuclease III / apurinic/apyrimidinic endodeoxyribonuclease VI	
Q88J04	URE1_PSEPK	PP_2845	ureC		Urease subunit alpha
Q88JK4	Q88JK4_PSEPK	PP_2645	mgtA		Magnesium-transporting ATPase, P-type 1
Q88JS5	Q88JS5_PSEPK	PP_2573			VOC domain-containing protein
Q88K06	Q88K06_PSEPK	PP_2487	aldA	Aldehyde dehydrogenase	
Q88K84	AROQ2_PSEPK	PP_2407	aroQ2		3-dehydroquinate dehydratase 2
Q88KB6	Q88KB6_PSEPK	PP_2374			DUF2970 domain-containing protein
Q88KG7	Q88KG7_PSEPK	PP_2323			N-acetyltransferase domain-containing protein
Q88KH3	Q88KH3_PSEPK	PP_2317	ybbA	ABC transporter-ATP binding subunit	
Q88KQ6	Q88KQ6_PSEPK	PP_2234		Transcriptional regulator, AraC family	
Q88KW9	Q88KW9_PSEPK	PP_2170			chorismate mutase
Q88LB6	Q88LB6_PSEPK	PP_2019		Multidrug efflux transporter, RND family	
Q88LC6	Q88LC6_PSEPK	PP_2009		1-aminocyclopropane-1-carboxylate deaminase	
Q88LD7	Q88LD7_PSEPK	PP_1998	dedD	Cell division protein	
Q88LD8	Q88LD8_PSEPK	PP_1997	folC		Dihydrofolate synthase/folylpolyglutamate synthase
Q88LF0	Q88LF0_PSEPK	PP_1983		PAS/PAC/GAF sensor-containing diguanylate cyclase/phosphodiesterase	
Q88LH4	Q88LH4_PSEPK	PP_1958		Uncharacterized protein	
Q88LI0	Q88LI0_PSEPK	PP_1952		Metallo-beta-lactamase family protein	
Q88LM1	NTPPB_PSEPK	PP_1909	maf-2		7-methyl-GTP pyrophosphatase
Q88LR8	Q88LR8_PSEPK	PP_1860	ohrR	Organic hydroperoxide resistance transcriptional regulator	
Q88LT2	Q88LT2_PSEPK	PP_1845		Enoyl-CoA hydratase/isomerase family protein	
Q88LT7	Q88LT7_PSEPK	PP_1840			Regulator of ribonuclease activity B domain-containing protein
Q88LZ1	Q88LZ1_PSEPK	PP_1785	rffG		dTDP-glucose 4,6-dehydratase
Q88M21	Q88M21_PSEPK	PP_1754			Alginate lyase domain-containing protein
Q88M49	Q88M49_PSEPK	PP_1725			Nucleotide pyrophosphatase
Q88MC2	Q88MC2_PSEPK	PP_1651		Two-component response regulator	
Q88MI7	Q88MI7_PSEPK	PP_1584			DUF2514 domain-containing protein
Q88MM6	Q88MM6_PSEPK	PP_1545		Uncharacterized protein	
Q88N43	Q88N43_PSEPK	PP_1373	pitB		Phosphate transporter
Q88NH6	Q88NH6_PSEPK	PP_1233	tusA-I	Sulfurtransferase	
Q88NI0	Q88NI0_PSEPK	PP_1229	puuP	Putrescine permease	
Q88NJ5	Q88NJ5_PSEPK	PP_1212			Putative regulatory protein FmdB Zinc ribbon domain-containing protein
Q88NK7	KUP_PSEPK	PP_1200	kup		Probable potassium transport system protein Kup
Q88NN3	Q88NN3_PSEPK	PP_1174		Uncharacterized protein	
Q88NP4	Q88NP4_PSEPK	PP_1163		Oxidoreductase, FAD-binding	
Q88NR6	Q88NR6_PSEPK	PP_1139	livM	Branched chain amino acid transporter-permease subunit	
Q88NV1	Q88NV1_PSEPK	PP_1103		ATP-dependent helicase, DEAD box family	
Q88NV2	Q88NV2_PSEPK	PP_1102			Calcineurin-like phosphoesterase domain-containing protein
Q88P69	Q88P69_PSEPK	PP_0984			RDD domain-containing protein
Q93TM2	Q88P78_PSEPK	PP_0975	hupN	DNA-binding protein HU, form N	
Q88PB8	GATC_PSEPK	PP_0932	gatC		Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit C
Q88Q06	Q88Q06_PSEPK	PP_0692			CreA protein
Q88QI6	Q88QI6_PSEPK	PP_0506		ABC efflux transporter, permease protein	
Q88QI8	Q88QI8_PSEPK	PP_0504	oprG	Outer membrane protein OprG	
Q88QR5	Q88QR5_PSEPK	PP_0423			BPL/LPL catalytic domain-containing protein
Q88R62	Q88R62_PSEPK	PP_0272		Outer membrane ferric siderophore receptor	
Q88RA0	Q88RA0_PSEPK	PP_0233	tauA	Taurine ABC transporter periplasmic binding subunit	
Q88RE3	Q88RE3_PSEPK	PP_0188		Uroporphyrin-III C-methyltransferase	
Q88RG2	Q88RG2_PSEPK	PP_0168		Surface adhesion protein	
Q88RP1	Q88RP1_PSEPK	PP_0088		Alkanal monooxygenase	
A0A140FVZ7	A0A140FVZ7_PSEPK	PP_5447			MAPEG family protein
A0A140FW46	A0A140FW46_PSEPK	PP_5492		Uncharacterized protein	
A0A140FW53	A0A140FW53_PSEPK	PP_5497			RHS repeat-associated core domain-containing protein
A0A140FW65	A0A140FW65_PSEPK	PP_5510		Uncharacterized protein	
A0A140FWG4	A0A140FWG4_PSEPK	PP_5612			CHAD domain-containing protein
A0A140FWM8	A0A140FWM8_PSEPK	PP_5676		Uncharacterized protein	
A0A140FWS4	A0A140FWS4_PSEPK	PP_5013	ubiB		Probable protein kinase UbiB
A0A140FWT2	A0A140FWT2_PSEPK	PP_5727			Bacteriocin
P31856	Y002_PSEPK	PP_0002			Uncharacterized protein PP_0002
P59300	ARGB_PSEPK	PP_5289	argB		Acetylglutamate kinase
Q877L1	Q877L1_PSEPK	PP_3820			RNA-directed DNA polymerase
Q88BX1	ATPD_PSEPK	PP_5416	atpH		ATP synthase subunit delta
Q88C66	UBIC_PSEPK	PP_5317	ubiC		Probable chorismate pyruvate-lyase
Q88CD2	Q88CD2_PSEPK	PP_5249		Transcriptional regulator, LysR family	
Q88CE8	Q88CE8_PSEPK	PP_5233	amtB		Ammonium transporter
Q88CG5	Q88CG5_PSEPK	PP_5216	ppx		Exopolyphosphatase
Q88CL6	Q88CL6_PSEPK	PP_5164		Penicillin amidase family protein	
Q88CM2	Q88CM2_PSEPK	PP_5158		Uncharacterized protein	
Q88CU6	Q88CU6_PSEPK	PP_5084	mrcA		Penicillin-binding protein 1A
Q88CX5	Q88CX5_PSEPK	PP_5055		Sulfurtransferase	
Q88D58	Q88D58_PSEPK	PP_4969			DUF1090 domain-containing protein
Q88DJ2	Q88DJ2_PSEPK	PP_4833		SURF1 domain protein	
Q88DQ8	Q88DQ8_PSEPK	PP_4765			NAD(FAD)-utilizing dehydrogenase
Q88E25	Q88E25_PSEPK	PP_4643		Xanthine/uracil permease family protein	
Q88ET0	Q88ET0_PSEPK	PP_4373	fleQ	Transcriptional regulator FleQ	
Q88F02	Q88F02_PSEPK	PP_4298	hyi	Hydroxypyruvate isomerase	
Q88F29	Q88F29_PSEPK	PP_4270			Solute-binding protein family 3/N-terminal domain-containing protein
Q88F49	Q88F49_PSEPK	PP_4250	ccoN-I		cytochrome-c oxidase
Q88FC5	Q88FC5_PSEPK	PP_4173			histidine kinase
Q88FE7	Q88FE7_PSEPK	PP_4150	yejF	Microcin C transporter-ATP binding subunit	
Q88FK7	Q88FK7_PSEPK	PP_4084			DUF1795 domain-containing protein
Q88FW2	Q88FW2_PSEPK	PP_3966		Transposase	
Q88G91	Q88G91_PSEPK	PP_3834			non-specific serine/threonine protein kinase
Q88GC2	Q88GC2_PSEPK	PP_3802		Cation ABC transporter, ATP-binding protein	
Q88HB9	Q88HB9_PSEPK	PP_3441			BioF2-like acetyltransferase domain-containing protein
Q88HD9	Q88HD9_PSEPK	PP_3421			histidine kinase
Q88HG6	Q88HG6_PSEPK	PP_3392			Gamma carbonic anhydrase family protein
Q88HH0	Q88HH0_PSEPK	PP_3388			Toxin VasX N-terminal region domain-containing protein
Q88HM2	Q88HM2_PSEPK	PP_3332		Cytochrome c-type protein	
Q88I12	Q88I12_PSEPK	PP_3190		Ornithine cyclodeaminase/mu-crystallin family protein	
Q88I40	Q88I40_PSEPK	PP_3161	benA	Benzoate 1,2-dioxygenase subunit alpha	
Q88IB6	Q88IB6_PSEPK	PP_3083		Membrane protein	
Q88IE1	Q88IE1_PSEPK	PP_3058			Phage tail protein
Q88IH5	Q88IH5_PSEPK	PP_3024			ATP-binding protein
Q88IS8	Q88IS8_PSEPK	PP_2921			Carboxyltransferase domain-containing protein
Q88J45	Q88J45_PSEPK	PP_2804		Hydrolase, alpha/beta fold family	
Q88J49	Q88J49_PSEPK	PP_2800		Diaminobutyrate-2-oxoglutarate transaminase	
Q88J88	Q88J88_PSEPK	PP_2761		Ribose ABC transporter, permease protein	
Q88J93	Q88J93_PSEPK	PP_2756			Acyl-CoA dehydrogenase
Q88J99	Q88J99_PSEPK	PP_2750		Branched-chain amino acid ABC transporter, permease protein	
Q88JF4	Q88JF4_PSEPK	PP_2695		Transcriptional regulator, LysR family	
Q88JM7	Q88JM7_PSEPK	PP_2622			IraD/Gp25-like domain-containing protein
Q88JN8	Q88JN8_PSEPK	PP_2611			DUF6708 domain-containing protein
Q88JT7	Q88JT7_PSEPK	PP_2560	aprDA	Alkaline protease secretion transporter ATP-binding protein	
Q88K11	Q88K11_PSEPK	PP_2482		Molybdenum cofactor biosynthesis protein A	
Q88K55	Q88K55_PSEPK	PP_2436		Transcriptional regulator, LysR family	
Q88KK2	Q88KK2_PSEPK	PP_2288		Phage tail fiber protein	
Q88KP2	Q88KP2_PSEPK	PP_2248		Transporter	
Q88KV0	Q88KV0_PSEPK	PP_2189			DUF883 domain-containing protein
Q88KY5	Q88KY5_PSEPK	PP_2154	lolC	LolC	
Q88L16	Q88L16_PSEPK	PP_2121		Lipoprotein	
Q88L50	Q88L50_PSEPK	PP_2085	cmaX	CmaX protein	
Q88LA2	Q88LA2_PSEPK	PP_2033			Tle1 phospholipase domain-containing protein
Q88LB9	Q88LB9_PSEPK	PP_2016			DUF2797 domain-containing protein
Q88LC8	Q88LC8_PSEPK	PP_2007		p-47-related protein	
Q88LM0	Q88LM0_PSEPK	PP_1910			Large ribosomal RNA subunit accumulation protein YceD
Q88LM3	Q88LM3_PSEPK	PP_1907		Hydrolase, haloacid dehalogenase-like family	
Q88LT1	Q88LT1_PSEPK	PP_1847		TonB-dependent ferric siderophore receptor	
Q88LU1	Q88LU1_PSEPK	PP_1836		Metal transporter, ZIP family	
Q88MN3	Q88MN3_PSEPK	PP_1538			Phage-related protein
Q88MZ8	Q88MZ8_PSEPK	PP_1420	tctD	Transcriptional regulatory protein tctD	
Q88N03	Q88N03_PSEPK	PP_1415		Membrane associated enzyme subunit	
Q88N05	UNG_PSEPK	PP_1413	ung		Uracil-DNA glycosylase
Q88NC7	ALGK_PSEPK	PP_1285	algK		Alginate biosynthesis protein AlgK
Q88NE5	Q88NE5_PSEPK	PP_1267	yhaV	Toxin endoribonuclease of toxin antitoxin system SohB(PrlF)-YhaV	
Q88NG7	Q88NG7_PSEPK	PP_1242			DUF3077 domain-containing protein
Q88NN6	URODH_PSEPK	PP_1171	udh		Uronate dehydrogenase
Q88NN8	Q88NN8_PSEPK	PP_1169	dctP	TRAP dicarboxylate transporter, DctP subunit	
Q88NP3	Q88NP3_PSEPK	PP_1164		Transcriptional regulator, LysR family	
Q88NV5	Q88NV5_PSEPK	PP_1099	capB	Cold shock protein CapB	
Q88P12	Q88P12_PSEPK	PP_1041	tatA-I		Sec-independent protein translocase protein TatA
Q88P54	Q88P54_PSEPK	PP_0999	arcC		Carbamate kinase
Q88PG5	Q88PG5_PSEPK	PP_0885	dppA-III	Dipeptide ABC transporter-periplasmic binding protein	
Q88PI1	Q88PI1_PSEPK	PP_0869	yehW	Osmoprotectant ABC transporter permease subunit	
Q88PP7	Q88PP7_PSEPK	PP_0801			Secreted protein
Q88Q67	Q88Q67_PSEPK	PP_0629			Cobalt transport protein CbiM
Q88QB1	Q88QB1_PSEPK	PP_0583		Transcriptional regulator, AraC family	
Q88QF8	Q88QF8_PSEPK	PP_0536			Hemerythrin-like domain-containing protein
Q88QI5	Q88QI5_PSEPK	PP_0507		ABC efflux transporter, ATP-binding protein	
Q88QX9	Q88QX9_PSEPK	PP_0355		Response regulator	
Q88QY2	Q88QY2_PSEPK	PP_0352		RNA polymerase sigma-70 factor, ECF subfamily	
Q88R34	Q88R34_PSEPK	PP_0300		Metallopeptidase	
Q88R72	Q88R72_PSEPK	PP_0262			Thioesterase putative domain-containing protein
Q88R81	HSLO_PSEPK	PP_0252	hslO		33 kDa chaperonin
Q88RK2	Q88RK2_PSEPK	PP_0127	dsbA		Thiol:disulfide interchange protein
Q88RM5	Q88RM5_PSEPK	PP_0104	ctaD		Cytochrome c oxidase subunit 1
Q88RN7	Q88RN7_PSEPK	PP_0092		Lipoprotein	
Q88RP3	Q88RP3_PSEPK	PP_0086			Dodecin flavoprotein
Q88RS0	GMHBB_PSEPK	PP_0059	gmhB		D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase
Q88RS4	Q88RS4_PSEPK	PP_0055		Transcriptional regulator	
A0A140FVZ1	A0A140FVZ1_PSEPK	PP_0489	fdoG	Formate dehydrogenase-O major subunit	
A0A140FWD3	A0A140FWD3_PSEPK	PP_5584		Uncharacterized protein	
A0A140FWS9	A0A140FWS9_PSEPK	PP_5724			Gamma-glutamylcyclotransferase AIG2-like domain-containing protein
Q877U3	Q877U3_PSEPK	PP_4791		Transposase	
Q88C78	Q88C78_PSEPK	PP_5305		Epimerase/dehydratase-related protein	
Q88CS8	Q88CS8_PSEPK	PP_5102			DUF3392 domain-containing protein
Q88CU0	Q88CU0_PSEPK	PP_5090		Cell division protein	
Q88CU2	Q88CU2_PSEPK	PP_5088	priA		Primosomal protein N'
Q88D89	Q88D89_PSEPK	PP_4938		Glycosyl transferase	
Q88DA1	Q88DA1_PSEPK	PP_4926			Membrane fusion protein (MFP) family protein
Q88DD1	MUTL_PSEPK	PP_4896	mutL		DNA mismatch repair protein MutL
Q88DE0	Q88DE0_PSEPK	PP_4887			DUF2867 domain-containing protein
Q88DM2	Q88DM2_PSEPK	PP_4803	dacA		serine-type D-Ala-D-Ala carboxypeptidase
Q88DN9	Q88DN9_PSEPK	PP_4785			Sel1 repeat family protein
Q88DR6	Q88DR6_PSEPK	PP_4757	gudD		glucarate dehydratase
Q88DW1	Q88DW1_PSEPK	PP_4707		OsmY-related protein	
Q88E17	Q88E17_PSEPK	PP_4651	cioA	Ubiquinol oxidase subunit I, cyanide insensitive	
Q88E38	Q88E38_PSEPK	PP_4630		Transcriptional regulator, MerR family	
Q88E59	Q88E59_PSEPK	PP_4609			DUF3325 domain-containing protein
Q88E78	Q88E78_PSEPK	PP_4588		Oxidoreductase (Nitroreductase family)	
Q88E98	Q88E98_PSEPK	PP_4568		Metabolite efflux pump	
Q88ED1	Q88ED1_PSEPK	PP_4534			DUF3077 domain-containing protein
Q88EJ4	Q88EJ4_PSEPK	PP_4468		Transcriptional regulator, Cro/CI family	
Q88ER6	Q88ER6_PSEPK	PP_4387		Uncharacterized protein	
Q88ET1	Q88ET1_PSEPK	PP_4372	fleS		histidine kinase
Q88F51	PPNP_PSEPK	PP_4248	ppnP		Pyrimidine/purine nucleoside phosphorylase
Q88FL4	Q88FL4_PSEPK	PP_4076			IraD/Gp25-like domain-containing protein
Q88FP8	Q88FP8_PSEPK	PP_4041		Glycoside hydrolase	
Q88FU7	Q88FU7_PSEPK	PP_3984		Transposase	
Q88GE3	Q88GE3_PSEPK	PP_3781		Oxygen-independent Coproporphyrinogen III oxidase family protein	
Q88GG0	Q88GG0_PSEPK	PP_3764	opdN	Outer-membrane porin D	
Q88GS1	Q88GS1_PSEPK	PP_3647		Oxidoreductase	
Q88GT2	Q88GT2_PSEPK	PP_3636		Sulfonate ABC transporter, periplasmic sulfonate-binding protein	
Q88GV2	Q88GV2_PSEPK	PP_3615			DUF4189 domain-containing protein
Q88GW9	Q88GW9_PSEPK	PP_3598		Peptidase C26	
Q88H61	Q88H61_PSEPK	PP_3504			DUF1652 domain-containing protein
Q88HB3	Q88HB3_PSEPK	PP_3447			Chlorhexidine efflux transporter domain-containing protein
Q88HC7	Q88HC7_PSEPK	PP_3433	hpd	4-hydroxyphenylpyruvate dioxygenase	
Q88HG2	Q88HG2_PSEPK	PP_3396			Glycoprotein gp2
Q88HG8	Q88HG8_PSEPK	PP_3390		Porin	
Q88HH8	Q88HH8_PSEPK	PP_3379	kguE	Epimerase	
Q88HJ9	Q88HJ9_PSEPK	PP_3357	vdh	Vanillin dehydrogenase	
Q88HL5	NIKR_PSEPK	PP_3341			Putative nickel-responsive regulator
Q88HQ1	Q88HQ1_PSEPK	PP_3302		RND efflux transporter	
Q88I22	Q88I22_PSEPK	PP_3180		Smp-30/Cgr1 family protein	
Q88I67	Q88I67_PSEPK	PP_3134			Transferase
Q88IL9	Q88IL9_PSEPK	PP_2980			Major facilitator superfamily (MFS) profile domain-containing protein
Q88IU7	LPXH_PSEPK	PP_2902	lpxH		UDP-2,3-diacylglucosamine hydrolase
Q88IZ6	Q88IZ6_PSEPK	PP_2853			Transporter
Q88J14	Q88J14_PSEPK	PP_2835		Oxidoreductase	
